geneID,Severo
ADGRD1,3.48267385438303e-05
ADGRD2,5.42982475464687e-05
ADGRE1,2.14572519024652e-05
ADGRE2,4.60575993627945e-05
ADGRE3,2.33886261049351e-05
ADGRE5,2.94412191204991e-05
ADGRF1,3.56876997322123e-05
ADGRF3,2.80515149057995e-05
ADGRF5,6.54131151514588e-05
ADGRG1,9.83578684271612e-05
ADGRG2,2.68395779173918e-05
ADGRG3,3.94864078288699e-05
ADGRG4,1.68263320856322e-05
ADGRG5,2.94679050101535e-05
ADGRG6,4.6781527284899e-05
ADGRG7,1.32505805607221e-05
ADGRL1,0.0001028488099499
ADGRL2,8.45955301629573e-05
ADGRL3,0.0001165517106547
ADGRL4,4.94348932074236e-05
ADGRV1,7.21429568183112e-05
ADH1A,8.5378937307297e-06
ADH4,9.5281799401422e-05
ADH5,0.0001098583173295
ADH6,3.02035398725873e-05
ADHFE1,6.852526922851e-05
ADI1,0.000148072912452
ADIPOR1,8.89981537164787e-05
ADIPOR2,6.48730284008099e-05
ADIRF,6.48027075141578e-05
ADISSP,5.22400049460427e-05
ADK,9.19580477665566e-05
ADM,8.21606500342242e-05
ADM2,6.87243869451332e-05
ADM5,3.10704324491656e-05
ADNP,0.0001310842941986
ADNP2,7.62456992319479e-05
ADO,0.0001237799447356
ADORA1,8.27330652396543e-05
ADORA2A,5.44594745213781e-05
ADORA2A-AS1,6.00693216139548e-05
ADORA2B,4.75038921152736e-06
ADPGK,5.66282899876832e-05
ADPRH,4.41530854303201e-05
ADPRHL1,3.64512875309342e-05
ADPRM,4.9026711607548e-05
ADPRS,9.26877439174971e-05
ADRA1A,0.0001002613338223
ADRA1B,8.49446241413203e-06
ADRA1D,2.37432519926753e-05
ADRA2A,3.63814422597735e-05
ADRA2B,5.52927378222983e-05
ADRA2C,8.93061115385465e-05
ADRB1,0.0001059563354798
ADRB2,7.34226214490027e-05
ADRM1,4.61602932830758e-05
ADSL,5.48120004136195e-05
ADSS1,4.72676603221108e-05
ADSS2,0.0001193164531451
ADTRP,3.43021852803716e-05
AEBP1,0.000119107384123
AEBP2,0.0001264742130683
AEN,5.91329692595841e-05
AFAP1,3.96569812634919e-05
AFAP1-AS1,4.1116761433195e-05
AFAP1L1,2.85008280900431e-05
AFAP1L2,5.11549966571669e-05
AFDN,0.0001281304583929
AFF1,0.0001439683130475
AFF2,4.94445137033226e-05
AFF3,9.93852654470527e-05
AFF4,0.0001543134560732
AFG1L,4.12716359493844e-05
AFG2A,5.39573700167444e-05
AFG2B,7.62884850706773e-05
AFG3L2,0.00015200406048
AFMID,4.41222129712905e-05
AFP,2.3056244924223e-05
AFTPH,0.0001120659662996
AFTPH-DT,3.11325131569829e-05
AGA,6.873341139208e-05
AGA-DT,2.53101197929497e-05
AGAP1,0.0001246328899967
AGAP11,4.13408563710783e-05
AGAP2,7.00676131238752e-05
AGAP2-AS1,6.83133426023264e-05
AGAP3,8.8432708829257e-05
AGAP4,0.0001075411523751
AGBL1,2.81954802823067e-05
AGBL2,2.35672378638425e-05
AGBL3,5.62307266799259e-05
AGBL4,0.0001254293374482
AGBL5,5.88439142892329e-05
AGER,3.30997684347674e-05
AGFG1,0.0001238438891278
AGFG2,9.05844705559659e-05
AGGF1,8.18576832219728e-05
AGK,0.0001409729498867
AGL,0.0001142515139427
AGMAT,6.57821401555256e-05
AGPAT1,6.05530333096663e-05
AGPAT2,7.23845121590278e-05
AGPAT3,0.0001328594917031
AGPAT4,0.0001864390495118
AGPAT5,7.2147202371846e-05
AGPS,0.0001457543968436
AGR3,1.00435036835891e-05
AGRN,8.20873863475983e-05
AGRP,1.78565150192154e-05
AGT,0.0001279603479252
AGTPBP1,0.0001700400813281
AGTR1,2.47764127747173e-05
AGTRAP,6.62020074600737e-05
AGXT2,7.83314076875887e-06
AHCTF1,0.0001401853648507
AHCY,3.83417222005854e-05
AHCYL1,0.0001661838181877
AHCYL2,0.0001053665737484
AHDC1,5.77092759026323e-05
AHI1,0.0001390675957053
AHI1-DT,2.07397977813625e-05
AHNAK,0.0001390102143193
AHNAK2,0.0001075917056578
AHR,5.34610890347194e-05
AHSA1,5.54260095020214e-05
AHSG,3.55674260552838e-05
AIDA,0.0001576577298084
AIF1,0.0001448149256644
AIF1L,0.0001268523210249
AIFM1,3.93524689422544e-05
AIFM2,4.94163324260558e-05
AIFM3,4.02650104615125e-05
AIG1,0.000173132004316
AIM2,2.8770227626385e-05
AIMP1,0.0001553245332384
AIMP2,0.0001135369020366
AIP,5.29577922612354e-05
AIPL1,5.13495652759384e-05
AIRE,3.039195899255e-05
AIRIM,4.28768838305982e-05
AJAP1,0.0001287853792162
AJM1,5.51025087119355e-05
AJUBA,5.28614921198395e-05
AK1,0.0001056822307495
AK2,0.0001130183249044
AK3,0.00011720653503
AK4,0.0001277846639065
AK5,0.0001744034650388
AK6,8.34784655891088e-05
AK7,6.05016930729203e-05
AK8,3.01423041920443e-05
AK9,0.0001342061165654
AKAIN1,5.13500628745125e-05
AKAP1,0.0001155793734353
AKAP10,0.0001427856928664
AKAP11,0.0001279937030863
AKAP12,0.0001394033188283
AKAP13,0.0001198932594862
AKAP14,4.05455462538622e-05
AKAP17A,0.0001019735685128
AKAP3,1.72664543871513e-05
AKAP5,0.0001433261475025
AKAP6,8.38476571039948e-05
AKAP7,8.75647877628674e-05
AKAP8,8.33162203621663e-05
AKAP8L,9.065556770621e-05
AKAP9,0.0001187467536472
AKIP1,8.23758811313765e-05
AKIRIN1,0.0001428345613824
AKIRIN2,0.0001195213550335
AKNA,4.04924640972821e-05
AKNAD1,3.06612824719418e-05
AKR1A1,6.94303438648259e-05
AKR1B1,0.0001247009986107
AKR1B10,2.15837676795125e-05
AKR1C1,7.33960135204022e-05
AKR1C2,8.83504015653903e-05
AKR1C3,7.01932312450727e-05
AKR1D1,1.23666728164009e-05
AKR1E2,4.60529833056348e-05
AKR7A2,0.0001202693212991
AKR7A3,2.71212674912823e-05
AKT1,6.31278043531778e-05
AKT1S1,7.13668605307679e-05
AKT2,0.0001077997114498
AKT3,0.0001732943985919
AKTIP,0.0001417129314533
ALAD,0.0001367374467372
ALAS1,6.7091101681565e-05
ALB,0.0001081532552544
ALCAM,0.0001909765836085
ALDH16A1,4.3248126464095e-05
ALDH18A1,5.68319166359911e-05
ALDH1A1,4.44796087989958e-05
ALDH1A2,5.62130690954722e-05
ALDH1A3,6.48205302937274e-05
ALDH1B1,0.0001252591796457
ALDH1L1,6.09553792787124e-05
ALDH1L1-AS2,3.72261815843902e-05
ALDH1L2,5.02809552148803e-05
ALDH2,0.000174035636543
ALDH3A1,1.82628440379477e-05
ALDH3A2,0.0001138905596397
ALDH3B1,6.28331296104027e-05
ALDH3B2,1.57044379097015e-05
ALDH4A1,5.3937953750907e-05
ALDH5A1,0.0001110099064685
ALDH6A1,0.0001354307089683
