"geneID","MeanWeight"
"AFF1",6.40555612394738
"AFF2",2.5434289910982
"AFF3",4.50979544181484
"AFF4",7.09323895497197
"AFG1L",1.91728709225617
"AFG2A",2.6650687197844
"AFG2B",3.63755159016519
"AFG3L1P",3.30815183003258
"AFG3L2",7.50570430951594
"AFM",0.708427844010521
"AFMID",2.04411869800242
"AFP",1.37906545217489
"AFTPH",5.29378448542022
"AFTPH-DT",1.34906868043678
"AGA",3.18971548544933
"AGA-DT",1.21537229838767
"AGAP1",5.91868857878617
"AGAP11",1.89771207531874
"AGAP2",3.34918641012617
"AGAP2-AS1",3.18315806175587
"AGAP3",4.16731551663742
"AGAP4",4.89729219627375
"AGAP9",4.95535039550347
"AGBL1",1.21778241386374
"AGBL2",1.10973351647443
"AGBL3",2.53506040866124
"AGBL4",5.78436287791872
"AGBL5",2.78074289066649
"AGER",1.70517795169336
"AGFG1",5.89424849285926
"AGFG2",4.08161124726696
"AGGF1",3.85471813071889
"AGK",6.57083301396845
"AGL",5.21211305095053
"AGMAT",3.1747420391078
"AGPAT1",2.87915238092267
"AGPAT2",3.42465565053259
"AGPAT3",6.0963352060859
"AGPAT4",8.39141961281722
"AGPAT4-IT1",2.64380131610072
"AGPAT5",3.47633053793914
"AGPS",6.73663612258598
"AGR2",1.24361297403613
"AGR3",0.498087283565668
"AGRN",3.87875014495068
"AGRP",0.878844283557933
"AGT",5.61155608338302
"AGTPBP1",7.72653152633845
"AGTR1",1.05816419952827
"AGTR2",1.96862064505489
"AGTRAP",3.18593004319546
"AGXT",1.49245557836283
"AGXT2",0.413531536900675
"AHCTF1",6.34650453197368
"AHCY",1.92641294287191
"AHCYL1",7.52095405019851
"AHCYL2",4.77687509135602
"AHDC1",2.68911563719552
"AHI1",6.35591202350527
"AHI1-DT",1.16458636541424
"AHNAK",6.2512721694806
"AHNAK2",5.07456353838201
"AHR",2.28352497330095
"AHSA1",2.91710693386613
"AHSA2P",5.50039789246265
"AHSG",1.92936260540542
"AHSP",0.790087151358347
"AICDA",0.926431632288635
"AIDA",7.36058141408776
"AIF1",6.16076306920034
"AIF1L",5.64470528254459
"AIFM1",1.81960317484477
"AIFM2",2.59839410349595
"AIFM3",1.67622594163344
"AIG1",7.67860733838337
"AIM2",1.28176916395757
"AIMP1",7.1430521520691
"AIMP2",5.26638330702756
"AIP",2.67846968211485
"AIPL1",2.44224780583513
"AIRE",1.41741932831702
"AIRIM",2.38438824086989
"AJAP1",5.94006722334876
"AJM1",2.32524413561522
"AJUBA",2.25054803144508
"AK1",4.63946030098111
"AK2",4.92923865912419
"AK3",5.27917720442604
"AK4",6.01997554526935
"AK5",8.26605261921751
"AK6",3.85181916460643
"AK7",2.70867521897164
"AK8",1.67996474181093
"AK9",6.03501446643861
"AKAIN1",2.5050312529601
"AKAP1",5.11875654396906
"AKAP10",6.23115283160306
"AKAP11",6.0971006830801
"AKAP12",6.53366848825152
"AKAP13",5.6748504180614
"AKAP14",1.96274303230452
"AKAP17A",4.79863375917693
"AKAP3",0.970155387124877
"AKAP4",2.00548460340066
"AKAP5",6.91190927425966
"AKAP6",3.94469561995798
"AKAP7",4.18104309921717
"AKAP8",3.81755052617038
"AKAP8L",4.26887431553746
"AKAP9",5.47831500398595
"AKIP1",4.23262201590504
"AKIRIN1",6.48337468008169
"AKIRIN2",5.8281804527489
"AKNA",1.85425932586596
"AKNAD1",1.49904202980657
"AKR1A1",2.91635931291712
"AKR1B1",5.49125568459837
"AKR1B10",1.08103421581045
"AKR1C1",3.47291032588602
"AKR1C2",3.90802037328178
"AKR1C3",3.04654507897986
"AKR1C4",1.14128897074082
"AKR1C6P",0.651023724427677
"AKR1D1",0.633426083412716
"AKR1E2",2.13542567179761
"AKR7A2",5.79479812775429
"AKR7A3",1.45660731535849
"AKT1",2.76930130885484
"AKT1S1",3.3015926938187
"AKT2",5.0857695305023
"AKT3",8.29667762851234
"AKTIP",6.45773795680038
"ALAD",5.93495348693525
"ALAS1",2.94745252543015
"ALAS2",1.39805142829432
"ALB",5.15254276027302
"ALCAM",8.53035585406997
"ALDH16A1",1.75249625765575
"ALDH18A1",2.89508060024614
"ALDH1A1",2.07160042798945
"ALDH1A2",2.52591680856872
"ALDH1A2-AS1",0.581699689498174
"ALDH1A3",3.21658502831009
"ALDH1B1",5.68104846582423
"ALDH1L1",2.89996275289433
"ALDH1L1-AS2",1.60629847271811
"ALDH1L2",2.26803442547123
"ALDH2",7.88833720116847
"ALDH3A1",0.89282681226103
"ALDH3A2",5.28197966790013
"ALDH3B1",2.97008233922785
"ALDH3B2",1.01749708258359
"ALDH4A1",2.63431257132286
"ALDH5A1",5.28286650562246
"ALDH6A1",6.44537948068495
"ALDH7A1",6.10601692920916
"ALDH8A1",2.4869720254703
"ALDH9A1",5.94090097370726
"ALDOA",5.14236070503321
"ALDOAP2",1.16146705404088
"ALDOB",3.38130645777153
"ALDOC",4.83583828606613
"ALG1",2.35762969683452
"ALG10",2.21952410943667
"ALG10B",2.23720330535575
"ALG12",1.8409309928943
"ALG13",5.37208622581948
"ALG14",2.37146561480083
"ALG14-AS1",2.17216918393975
"ALG2",4.968769126511
"ALG3",2.32154236719662
"ALG5",3.87526259811502
"ALG6",1.99767733115511
"ALG8",4.39855204522113
"ALG9",4.23841617890316
"ALK",5.56421270408008
"ALKAL2",4.18333196000703
"ALKBH1",4.12577661429579
"ALKBH2",1.38601939264912
"ALKBH3",1.10126184538448
"ALKBH3-AS1",1.90544660949156
"ALKBH4",1.28158651199802
"ALKBH5",4.71955281252128
"ALKBH6",5.67985156494124
"ALKBH7",2.49516636437803
"ALKBH8",2.07128479693208
"ALLC",0.655441982627279
"ALMS1",6.77741610068289
"ALMS1-IT1",3.624776333575
"ALMS1P1",2.37986227420137
"ALOX12",0.557490856715801
"ALOX12-AS1",3.57034617050194
"ALOX12B",0.951858642593422
"ALOX12P2",2.12431620795945
"ALOX15",1.08841190014146
"ALOX15B",0.940059010315706
"ALOX5",3.70814151246957
"ALOX5AP",3.58008386994669
"ALOXE3",1.60917631957998
"ALPG",2.51419874707166
"ALPI",2.28953598421012
"ALPK1",5.53271425164416
"ALPK2",1.27765602841095
"ALPK3",2.01561556221765
"ALPL",1.01404962842297
"ALPP",2.14639446760399
"ALS2",3.23867969547051
"ALS2CL",1.62759823566082
"ALX1",0.935382239631701
"ALX3",0.770457886710381
"ALX4",2.33809589237132
"ALYREF",3.04196651823452
"AMACR",4.81366527227506
"AMBN",0.717319591203733
"AMBP",1.05958134265517
"AMBRA1",5.01099106725556
"AMD1",6.45336684423788
"AMDHD1",0.786969606585991
"AMDHD2",2.7661577538024
"AMELX",0.914718446711314
"AMELY",0.289222282788468
"AMER1",1.17622044052649
"AMER2",7.53865171190676
"AMER3",3.68517546817284
"AMFR",3.46472557946813
"AMH",0.563178465867996
"AMHR2",1.09294173098213
"AMIGO1",5.98191545685393
"AMIGO2",2.10333366247909
"AMMECR1",4.90829394585464
"AMMECR1L",4.33343490406328
"AMN",4.40483340435794
"AMN1",4.29585049514753
"AMOT",2.6157414330052
"AMOTL1",6.00931479029971
"AMOTL2",5.61315361850394
"AMPD1",1.02525682361512
"AMPD2",4.43578907070851
"AMPD3",4.82934003847821
"AMPH",6.08069834020661
"AMT",2.28976644556566
"AMY1A",4.33505756547844
"AMY2B",5.23416210565023
"AMZ1",2.28352695577717
"AMZ2",5.59467995726669
"AMZ2P1",2.59857349668723
"ANAPC1",5.44786452466874
"ANAPC10",3.36225020071653
"ANAPC11",4.5292489907193
"ANAPC13",4.76044266421977
"ANAPC15",2.44688370363724
"ANAPC16",6.87841122560643
"ANAPC2",2.32902100741282
"ANAPC4",5.99756069550062
"ANAPC5",5.95824849774146
"ANAPC7",4.48815187407719
"ANG",1.22906409110227
"ANGEL1",3.70112950840267
"ANGEL2",4.63431849354673
"ANGPT1",2.6402673667418
"ANGPT2",3.84244529090868
"ANGPT4",1.26295419775191
"ANGPTL1",2.5386496673336
"ANGPTL2",4.56106100036558
"ANGPTL3",2.37447352777779
"ANGPTL4",3.63968119899848
"ANGPTL6",0.886095631420216
"ANGPTL7",0.975677498275447
"ANGPTL8",1.8330978541336
"ANHX",2.48017325102932
"ANK1",3.8493709685648
"ANK2",6.77589114300831
"ANK3",7.39401906479248
"ANKAR",3.22702511027669
"ANKDD1A",6.49914513014362
"ANKEF1",1.79696797128259
"ANKFN1",2.72598862885336
"ANKFY1",3.98573614327008
"ANKH",6.08857314174168
"ANKHD1",4.85602526664571
"ANKIB1",6.18186891078698
"ANKLE1",2.29021890068467
"ANKLE2",3.564449089697
"ANKMY1",3.01283256394395
"ANKMY2",5.07602978592351
"ANKRA2",2.30525450439007
"ANKRD1",0.965898124029305
"ANKRD10",6.40419010210732
"ANKRD10-IT1",6.56501528541267
"ANKRD11",6.33558030051516
"ANKRD12",8.64108923704287
"ANKRD13A",6.52599555825704
