14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
DNM1P50	CFB	RSPO3		CALCOCO2		ING2-DT	BRAT1	ESM1	TBC1D12
LOC105372793	OIT3	REEP1		CPSF2		MAFF	CFAP53	DNAJC25	TSPYL6
LOC101929748	MACO1	SEC24B		SGCE		SNX31		SPINT3	PLXNC1
EFHB	LIN9	MMGT1		PNRC2		GLRX		KRTAP4-1	PPP2R2D
EXOC6B	TNFRSF8	TMEM126B		TTLL5		SNHG12		SPTY2D1	USP48
BAG5	LOC101927131	B4GAT1		ARL5B		TMA16		PHLPP1	SOD2
HAPLN4	TRAV26-2	MAP2K1		DND1		SNAI2		ACO1	TCERG1
FAM149B1	MKNK2	ARMT1		CRYBA1		IFNK		SEMA4B	FANCB
PUS7	SIAH2	MFSD6		HSPD1		SLC18A2		PDE9A-AS1	LINC00869
UVRAG	LRRC46	CEP15		RAI2		TAFA5		RHOG	PIAS3
MYLK3	H3C1	PPT1		LINC02535		RNF25		LBH	ANKRD36B
AGAP9	ZNF257	SERTM1		TRMT13		UQCR11		H2AC11	ago-03
PBLD	PRAP1	DSTYK		RAB33B		ZNF488		EOLA1	ENTPD7
FAHD2B	FUS	MCTP1		LOC646903		NOP56		UBR1	HAT1
TTC13	LINC02059	MMUT		RCVRN		HIF1A		ZNF29P	CAPZA1
SLC16A6	KCNE4	YWHAG		LOC105370941		RNF114		OR12D2	LAMB1
GTF3C2	CASP12	FAM98A		FKBP14		HORMAD1		EVI2A	ZNF514
SYMPK	AHSG	C8orf88		ZNF776		SHOC1		NEUROD6	PSMG1
EIF3L	LOC100996583	EAF1		SNRNP48		CCAR1		PBK	OXA1L
ZNF330	LOC105375172	TMEM132D		RABIF		COCH		CLVS2	RPS10
IGSF6	MAT1A	HIGD1A		ALKAL2		EFL1		NRG4	HEPH
ADM	BANP	PAM		ALB		SRGN		OSTM1-AS1	UBA52
ZFP90	FRAT2	KAT7		COX10-DT		TBCE		TAAR9	SPCS1
MCM3AP-AS1	GTF2E2	RASGRP1		BET1		ELF4		ZNF266	C1orf220
PDK4	POM121L8P	COX7B		DAZ4		ZNF639		DUSP28	TMEM161B-DT
BABAM2-AS1	CHRNG	TACC2		SNHG21		FASTKD1		CFAP68	PRIMA1
SYNJ2BP	INSRR	SCG5		ARSB		ATG4A		MTX1	BMS1P2
EGR1	PP12613	COPG2		NT5C3A		ZNF462		RAB3A	LINC02067
