14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
ZNF347	USPL1	NECAB1	DENND5A	SNAP23	TTC39C	ICE1	SESTD1	NDUFV2	PARP8
SCYL3	USP34	RSL24D1	PAQR7	ZNF780B	IQCB1	PURG	WDR5	CPLANE1	TMX1
FOXM1	IFITM3	HOPX	CTNNA1	FOXF2	SRFBP1	URI1	MOB1A	NDST3	YIPF6
FLJ45513	DPM2	KPNA1	NDRG1	PIGK	PDHA1	RPS19	ZNF330	ZFP3	NDUFV3
FAM216A	LINC02487	R3HDM1	RPL23AP32	GHR	PAM	OR7D2	LINC01838	SLFN12	TRAF3IP2
HOMEZ	L2HGDH	DACH2	DBNDD2	ZNF398	EML1	HTN1	C16orf54	CHCHD1	ATP8B1
C5orf15	MAB21L3	ARL6IP1	RALGDS	FAM218A	SYT11	YARS2	NHEJ1	SMLR1	PIN1
SERPINF1	TAAR3P	SEH1L	PPP1R14A	SSX4	LINC02603	CFLAR	SFT2D1	GP1BA	LOC101928386
DNAJC14	RB1-DT	ATPAF1	MARCKSL1	TOGARAM1	RALA	VPS36	PHC1	FHL1P1	RPL30
COIL	LOC399900	LMO3	THAP11	ATRAID	UNC13B	PSMA5	LOC101927531	ASPN	DCAF17
PPARGC1A	MIR22HG	TMEM158	NIN	ZNF121	USP14	VPS33B	ETFBKMT	NOC3L	HEY2
TYRP1	AHCY	SCN2A	PGAP3	SHISA3	BAG4	DLEU1	ZNF526	ACTR3	SLC7A5P1
LOC101928361	UBL5	EEIG2	RTTN	FAM193B	MYO5A	MTREX	ZNF606	DNM3OS	UTP4
COPS7A	RGS20	SNRNP27	SMC4	FAM47A	RASGRP1	NOP2	UNC5B-AS1	KLB	SHLD2
PNPO	SHANK1	TRIP12	SHLD2	LOC340184	SLU7	RC3H2	EMX2	PAK6-AS1	ZNF337
DIS3L	FRMPD1	GPR22	TCEAL3	SCGB3A2	ATP6V0D1	ZRANB1	ZNF883	CAMKMT	DND1
FNBP1	TRMT12	NDUFA5	MTMR2	SELENOP	ANAPC13	C1GALT1C1	ZDHHC6	CASD1	MED13
TIMM23	SNPH	CREG2	ZSCAN16	PLEKHM3	ELOVL4	SARS1	KCNRG	PIGW	ELL2
GOLT1B	BCRP3	PPP3CB	SPTAN1	PBX3	PTCHD1	H2AC6	CNN3	ARL3	HMGN3
RSAD1	IGHV7-81	SLC25A46	DUSP12	OTUD4	PEBP1	CTSH	DLGAP1-AS3	BANF2	RELL1
PHF21A	ADPRHL1	ZNF91	LSM5	CASQ2	GSDME	IFRD1	THUMPD3	ELK4	SOX21-AS1
TBC1D20	H3C7	SCOC	HMGXB4	LINC00957	LOC102723409	COL8A1	MICAL3	LINC00910	PTPRK
LINC02912	TPTE2P6	FAM169A	OST4	USP45	ZNF766	TDRG1	DRAM2	INHBA	NR2E1
