"geneID","Promedio"
"ADAMTS3",2.15727623786483e-06
"ADAMTS4",2.57233488896735e-06
"ADAMTS5",6.77902718580854e-06
"ADAMTS6",4.76464133954567e-06
"ADAMTS7",3.60210692253416e-05
"ADAMTS8",1.92193162428702e-05
"ADAMTS9",2.05343516758562e-05
"ADAMTS9-AS1",4.04951896228685e-06
"ADAMTS9-AS2",8.79472079248025e-06
"ADAMTSL1",1.47381370177006e-05
"ADAMTSL2",5.88225586064057e-06
"ADAMTSL3",1.24995311511633e-05
"ADAMTSL4",6.40964581349062e-06
"ADAMTSL4-AS2",3.9159855181598e-06
"ADAMTSL5",1.77013536861835e-05
"ADAP1",4.62936265531591e-05
"ADAP2",2.08552981688473e-05
"ADAR",0.000675077567833796
"ADARB1",6.06937074183508e-05
"ADARB2",1.91978193531505e-05
"ADARB2-AS1",1.12536328579813e-05
"ADAT1",1.37926524868183e-05
"ADAT2",5.80753659621685e-06
"ADCK1",1.01545211377014e-05
"ADCK2",2.79153002248315e-05
"ADCK5",4.89218426562973e-06
"ADCY1",0.000140205132837047
"ADCY10",5.27740635073951e-06
"ADCY2",9.9732181317432e-05
"ADCY3",7.60558964910929e-05
"ADCY4",1.04692014982541e-05
"ADCY5",2.60324422702778e-05
"ADCY6",3.3966215275649e-06
"ADCY6-DT",1.52611879310042e-06
"ADCY7",1.43818359819475e-05
"ADCY8",4.06453809062575e-06
"ADCY9",0.000142071751234828
"ADCYAP1R1",3.65260416392631e-05
"ADD1",0.000111036960828059
"ADD2",0.000349028456863696
"ADD3",0.000263730276949391
"ADD3-AS1",5.51247560278885e-05
"ADGB",1.37949796471093e-06
"ADGRA1",3.27452210290098e-06
"ADGRA2",2.9229638083886e-05
"ADGRA3",1.77778335587214e-05
"ADGRB1",2.37058107561874e-05
"ADGRB2",1.59979748337908e-05
"ADGRB3",1.33389897699108e-05
"ADGRD1",2.88392555648474e-06
"ADGRD2",3.10580405578142e-05
"ADGRE1",3.55837932604341e-06
"ADGRE2",6.51894660263839e-06
"ADGRE3",2.09609960358645e-06
"ADGRE5",2.2746813751824e-06
"ADGRF1",7.44615057915047e-06
"ADGRF3",3.13568399248657e-06
"ADGRF5",6.39506235762249e-06
"ADGRG1",5.95412248845618e-05
"ADGRG2",1.66370904250071e-06
"ADGRG3",1.23819097637457e-05
"ADGRG4",1.56206286889582e-06
"ADGRG5",1.14062224536172e-05
"ADGRG6",7.06620405918918e-06
"ADGRG7",1.30077127691601e-06
"ADGRL1",0.000190521698285094
"ADGRL2",6.72231241248416e-06
"ADGRL3",5.07105840050925e-05
"ADGRL4",2.81666371319233e-06
"ADGRV1",1.14931069450617e-05
"ADH1A",1.20491022084259e-06
"ADH4",5.90559890130954e-05
"ADH5",5.40833126060011e-05
"ADH6",4.83654945575564e-06
"ADHFE1",9.16156974453583e-06
"ADI1",9.37736182347325e-05
"ADIPOR1",1.78970739484716e-05
"ADIPOR2",1.4122540274406e-05
"ADIRF",1.63428830612879e-05
"ADISSP",2.79724896398585e-05
"ADK",1.03564754366961e-05
"ADM",2.55953473052027e-05
"ADM2",2.8584484781711e-05
"ADM5",7.2044512456503e-06
"ADNP",6.13617614121891e-05
"ADNP2",3.21165294396215e-05
"ADO",4.64680109125076e-05
"ADORA1",6.27019840985739e-05
"ADORA2A",5.94499889851534e-06
"ADORA2A-AS1",9.88193884216346e-06
"ADORA2B",2.03746411349592e-06
"ADPGK",8.64636783624603e-06
"ADPRH",1.02657503726291e-05
"ADPRHL1",1.11126325975326e-05
"ADPRM",7.71605920176371e-06
"ADPRS",1.15665749983447e-05
"ADRA1A",4.42367036855111e-05
"ADRA1B",2.00856278801324e-06
"ADRA1D",7.59092327026492e-06
"ADRA2A",5.68359369935444e-06
"ADRA2B",1.76343146579875e-05
"ADRA2C",5.25492963849458e-05
"ADRB1",1.92617412134053e-05
"ADRB2",1.70915698286122e-05
"ADRM1",1.26987982878657e-05
"ADSL",6.67309644834143e-06
"ADSS1",1.31465169383934e-05
"ADSS2",6.12608391381879e-05
"ADTRP",2.93902522034065e-06
"AEBP1",0.000117250716299349
"AEBP2",0.000185917887091778
"AEN",2.60917960230151e-05
"AFAP1",1.60648430745881e-06
"AFAP1-AS1",5.28409890999342e-06
"AFAP1L1",1.07467494861023e-05
"AFAP1L2",3.6491011576581e-06
"AFDN",0.000154235809249449
"AFF1",0.000106817771867776
"AFF2",7.9549903180712e-06
"AFF3",3.97162634766274e-05
"AFF4",0.000182392640182938
"AFG1L",2.53406858550349e-06
"AFG2A",8.23227313412304e-06
"AFG2B",2.57838363880183e-05
"AFG3L2",5.07539573009806e-05
"AFMID",6.54106359133472e-06
"AFP",1.80945819371589e-06
"AFTPH",5.77930035838414e-05
"AFTPH-DT",2.45345254182795e-06
"AGA",1.10098505970466e-05
"AGA-DT",1.02543408296915e-06
"AGAP1",0.000156181219190871
"AGAP11",6.60218819425992e-06
"AGAP2",3.9973371631338e-05
"AGAP2-AS1",1.89018617015273e-05
"AGAP3",4.8011938755353e-05
"AGAP4",5.62224607550823e-05
"AGBL1",1.4565678207742e-06
"AGBL2",1.97747145675085e-06
"AGBL3",6.59161741469473e-06
"AGBL4",4.15375972492478e-05
"AGBL5",2.09690033590942e-05
"AGER",1.11795618670721e-05
"AGFG1",8.84919682929121e-05
"AGFG2",6.19567104301728e-05
"AGGF1",9.34106052031953e-06
"AGK",7.2775797909705e-05
"AGL",1.82310530713705e-05
"AGMAT",1.09601698984594e-05
"AGPAT1",1.34936853779426e-05
"AGPAT2",5.85330468664231e-05
"AGPAT3",0.000163034776261549
"AGPAT4",0.000312195336426233
"AGPAT5",1.03475709618299e-05
"AGPS",6.21719091058039e-05
"AGR3",1.20346121198584e-06
"AGRN",6.51874383678137e-05
"AGRP",5.71956833381606e-06
"AGT",6.03316905965434e-05
"AGTPBP1",0.000153320512478144
"AGTR1",4.38542647529671e-06
"AGTRAP",1.7469383557109e-05
"AGXT2",1.77952330072493e-06
"AHCTF1",6.09128616022744e-05
"AHCY",6.97213779204435e-06
"AHCYL1",0.00011874487549923
"AHCYL2",1.86136483154915e-05
"AHDC1",2.12030387021475e-05
"AHI1",7.30862544369843e-05
"AHI1-DT",1.76198393570169e-06
"AHNAK",0.000227907032311072
"AHNAK2",6.53296967727999e-05
"AHR",2.88236798291998e-06
"AHSA1",1.08160632792065e-05
"AHSG",6.62556964115821e-06
"AIDA",6.08519454464961e-05
"AIF1",9.49839538288179e-05
"AIF1L",4.65394230283328e-05
"AIFM1",7.26131296621754e-06
"AIFM2",1.40136886892259e-05
"AIFM3",5.30254343742048e-06
"AIG1",9.92256272623517e-05
"AIM2",2.39189248604869e-06
"AIMP1",4.35396643472165e-05
"AIMP2",7.6795597031307e-05
"AIP",1.3821416108636e-05
"AIPL1",1.56100184724154e-05
"AIRE",7.31157043054222e-06
"AIRIM",2.1982546320822e-06
"AJAP1",6.73181918417293e-05
"AJM1",2.05454766374517e-05
"AJUBA",6.74008913633943e-06
"AK1",6.13948351308778e-05
"AK2",2.97808633742882e-05
"AK3",1.74890524878883e-05
"AK4",0.000179667925049509
"AK5",0.000693174524527724
"AK6",5.50970426371966e-06
"AK7",1.27386598062064e-05
"AK8",4.7357548629722e-06
"AK9",5.18058442190015e-05
"AKAIN1",3.79911953079617e-06
"AKAP1",3.83456573730964e-05
"AKAP10",4.86605387841695e-05
"AKAP11",0.000247010081169625
"AKAP12",0.000127319088651553
"AKAP13",0.000130121699851324
"AKAP14",5.23626312936698e-06
"AKAP17A",3.65849352179524e-05
"AKAP3",4.10762678902227e-06
"AKAP5",0.000116863041332236
"AKAP6",2.05551167523729e-05
"AKAP7",3.68992756741364e-05
"AKAP8",2.44523261546031e-05
"AKAP8L",7.84939846640068e-05
"AKAP9",7.09155065161579e-05
"AKIP1",2.68843138801244e-05
"AKIRIN1",8.85578570590455e-05
"AKIRIN2",9.24641231251305e-05
"AKNA",1.02622624164603e-05
"AKNAD1",4.17946690829568e-06
"AKR1A1",8.03022642395703e-06
"AKR1B1",8.78727339148316e-05
"AKR1B10",3.37953308992868e-06
"AKR1C1",4.79308724359798e-05
"AKR1C2",2.14160753299559e-05
"AKR1C3",5.06868639566705e-06
"AKR1D1",1.46703429670556e-06
"AKR1E2",1.66982559067589e-05
"AKR7A2",0.000120540833179754
"AKR7A3",4.31293599650982e-06
"AKT1",1.21293463208285e-05
"AKT1S1",1.99568261589163e-05
"AKT2",0.000109923004097262
"AKT3",0.000391529237976574
"AKTIP",4.68042460924835e-05
"ALAD",7.47083670307924e-05
"ALAS1",3.08040126662762e-06
"ALB",2.7260747449093e-05
"ALCAM",0.000141248897093746
"ALDH16A1",5.64789351481483e-06
"ALDH18A1",8.62687636336831e-06
"ALDH1A1",3.32725853883709e-06
"ALDH1A2",1.71249450991149e-05
"ALDH1A3",5.38189847057192e-06
"ALDH1B1",0.000180873794977823
"ALDH1L1",2.24777209677126e-05
"ALDH1L1-AS2",5.73106120006383e-06
"ALDH1L2",1.35885560265945e-05
"ALDH2",0.00015437367388248
"ALDH3A1",4.61202937981237e-06
"ALDH3A2",5.15489851417794e-05
"ALDH3B1",3.34093849173352e-05
"ALDH3B2",2.47747171585786e-06
"ALDH4A1",2.08169090188118e-05
"ALDH5A1",2.83077120472106e-05
"ALDH6A1",0.000109609716106387
"ALDH7A1",0.000107676416962948
"ALDH8A1",1.89576000868644e-06
"ALDH9A1",2.41369925164615e-05
"ALDOA",6.2646349347453e-05
"ALDOB",2.76516873106024e-05
"ALDOC",4.89569841708604e-05
"ALG1",7.36759643258478e-06
"ALG10",6.03500190068569e-06
"ALG10B",3.73260769152634e-06
"ALG12",1.16680993349741e-05
"ALG13",4.39138073817526e-05
"ALG14",5.16580526210726e-06
"ALG14-AS1",2.61567361356787e-06
"ALG2",2.36339191236527e-05
"ALG3",8.7811972598076e-06
"ALG5",1.39861017354526e-05
"ALG6",1.989533012132e-06
"ALG8",1.06078973956343e-05
"ALG9",8.87302915475742e-06
"ALK",2.55261514776286e-05
"ALKAL2",1.42857060741034e-05
"ALKBH1",1.67829406133884e-05
"ALKBH2",3.74930802694897e-06
"ALKBH3",2.50456508863167e-06
"ALKBH3-AS1",5.43585041978601e-06
"ALKBH4",6.49094394242344e-06
"ALKBH5",5.67164868758767e-05
"ALKBH6",0.000176581561160879
"ALKBH7",1.93863446704317e-05
"ALKBH8",3.78887925323536e-06
"ALLC",1.46985807170782e-06
"ALMS1",0.000251169480543128
"ALMS1-IT1",1.16357736675651e-05
"ALOX12",1.39219094795049e-06
"ALOX12-AS1",1.09945678268762e-05
"ALOX12B",2.23602468851152e-06
"ALOX15B",4.39084827517679e-06
"ALOX5",1.63378418619297e-05
"ALOX5AP",9.47885433146398e-06
"ALOXE3",6.01819563813842e-06
"ALPK1",0.000109145364209517
"ALPK2",2.3971911210936e-06
"ALPK3",7.43358623219089e-06
"ALPL",7.31012970176919e-06
"ALS2",6.53493750391226e-06
"ALS2CL",9.8602863489259e-06
"ALX3",4.43457832821957e-06
"ALX4",1.43285038882496e-05
"ALYREF",2.12480923479508e-05
"AMACR",3.88646679369884e-05
"AMBN",1.52739913663348e-06
"AMBP",6.47147860836119e-06
"AMBRA1",9.20669778669515e-05
"AMD1",6.26222424873401e-05
"AMDHD1",1.24167027003025e-06
"AMDHD2",3.32139459283106e-05
"AMELY",1.65031468139184e-06
"AMER1",6.33762053210373e-06
"AMER2",0.000492398731599796
"AMER3",3.56674490228385e-05
"AMFR",1.2669859041177e-05
"AMH",3.92957411334358e-06
"AMHR2",4.80943557694326e-06
"AMIGO1",5.43699260663716e-05
"AMIGO2",2.50203136900029e-06
"AMMECR1",3.18473991796065e-05
"AMMECR1L",8.76939112294967e-06
"AMN",4.71818305443401e-05
"AMN1",3.85752378392136e-06
"AMOT",9.33705995179724e-06
"AMOTL1",7.34613835774502e-05
"AMOTL2",7.27875966455367e-05
"AMPD2",3.00119866112406e-05
"AMPD3",5.00851225141502e-05
"AMPH",3.54451777647351e-05
"AMT",8.54952849705643e-06
"AMY2B",2.4124303186263e-05
"AMZ1",2.34369343176332e-05
"AMZ2",1.47135926677725e-05
"ANAPC1",5.55291889783937e-05
"ANAPC10",5.84590306078723e-06
"ANAPC11",4.30647350917158e-05
"ANAPC13",9.82990809634325e-06
"ANAPC15",1.20832272112725e-05
"ANAPC16",0.000292525771335084
"ANAPC2",1.37179550016524e-05
"ANAPC4",1.88381186599155e-05
"ANAPC5",6.7948473530139e-05
"ANAPC7",2.58305439849163e-05
"ANGEL1",3.27089306591208e-05
"ANGEL2",1.66784902725431e-05
"ANGPT1",9.0126067428425e-06
"ANGPT2",5.16786814444276e-05
"ANGPT4",3.77036069369443e-06
"ANGPTL1",9.01202346616229e-06
"ANGPTL2",6.49397060071849e-05
"ANGPTL3",8.08561470805539e-06
"ANGPTL4",3.27937649425988e-05
"ANGPTL6",3.64371502706215e-06
"ANGPTL7",1.32464860838345e-06
"ANGPTL8",1.60889457096816e-05
"ANK1",4.08072554586934e-05
"ANK2",0.000100496932726841
"ANK3",0.000215451216383767
"ANKAR",1.17362444406244e-05
"ANKDD1A",5.93982677355584e-05
"ANKEF1",1.00359568139512e-05
"ANKFN1",1.33252564788306e-05
"ANKFY1",1.99757317313598e-05
"ANKH",0.000161441182622726
"ANKHD1",4.01251012428262e-05
"ANKIB1",6.0405598615716e-05
"ANKLE1",3.43568736364711e-06
"ANKLE2",2.37724941624198e-05
"ANKMY1",2.82403148036089e-05
"ANKMY2",7.61498996860659e-06
"ANKRA2",2.20475625163049e-06
"ANKRD1",1.98498332697813e-06
"ANKRD10",0.000133987075088042
"ANKRD11",0.000313636269357042
"ANKRD12",0.000370709071681307
"ANKRD13A",7.03533198074559e-05
"ANKRD13B",2.39692127183007e-05
"ANKRD13C",4.9183684541401e-05
"ANKRD13C-DT",6.62665109572135e-05
"ANKRD13D",3.37053725000345e-05
"ANKRD16",7.76236537785078e-06
"ANKRD17",0.000196083774823451
"ANKRD18A",8.05013431768804e-06
"ANKRD18B",4.57943277200775e-05
"ANKRD2",1.05604389980371e-05
"ANKRD20A1",1.30897449264925e-06
"ANKRD22",3.03226816975592e-06
"ANKRD23",1.65008698145411e-05
"ANKRD24",2.66870328355704e-05
"ANKRD26",9.21170881109959e-06
"ANKRD26P3",6.61718924229512e-06
"ANKRD27",2.52682108096159e-05
"ANKRD28",5.3710890129141e-05
"ANKRD29",3.29326427987624e-06
"ANKRD30A",1.46573879997823e-06
"ANKRD30B",7.58319871950742e-06
"ANKRD31",1.11205281553533e-06
"ANKRD33B",1.35530962390255e-05
"ANKRD34A",2.18931328488743e-05
"ANKRD35",1.7329260161425e-05
"ANKRD36",2.57090786959774e-05
"ANKRD36B",1.4897375906291e-05
"ANKRD36C",1.82844552560077e-06
"ANKRD37",7.65468019790178e-06
"ANKRD39",6.8187451164265e-06
"ANKRD40",9.7969271582656e-05
"ANKRD42-DT",2.06739419140428e-05
"ANKRD44",3.12345166332296e-05
"ANKRD45",1.7876727300105e-06
"ANKRD46",2.37262812519377e-05
"ANKRD49",2.20912491416236e-06
"ANKRD50",2.75047328558462e-05
"ANKRD52",1.39054563723778e-05
"ANKRD53",7.39953888891427e-06
